"from_stop_I","to_stop_I","d"
45788,1176,567.846200077832
45789,889,451.104587852229
45790,1180,604.892158321611
45791,1498,574.440925046081
45792,1679,274.394737165031
45793,1221,310.436689696601
45794,1844,632.688477328958
45795,2529,428.569376910848
45796,1872,277.869379210988
45797,2456,792.153451551771
45798,2391,208.746743315472
45799,1223,854.655586629943
45800,1403,526.679869663774
45801,1403,700.087338554087
45802,2171,600.369821026943
45803,2615,1430.23279069616
45804,2614,845.948965954517
45805,1856,441.696372606704
45806,1857,701.18651159651
45807,2247,397.642575855461
45808,2246,518.071589451828
45809,2232,551.64691312362
45810,1877,911.718347007794
45811,2077,936.309521036324
45812,2203,1342.29438509904
45813,2182,1294.79734185834
45814,2495,611.299982941332
45815,2127,824.206106780415
45816,2013,223.03131513506
45817,1851,573.430428213065
45818,2218,383.332898248921
45819,2077,308.377227893277
45820,1049,520.686607998891
45821,930,203.620233734802
45822,1023,327.884524419585
45823,5179,368.277878146234
45824,2183,1465.38485568366
45825,2342,2075.92489331874
45826,2636,399.625253682916
45827,2050,330.393982165188
45828,2029,461.826650178803
45829,2010,662.360700582116
45830,676,371.15838227578
45831,2031,510.525315722458
45832,1836,633.210462455775
45833,1835,794.373347569653
45834,1864,806.014266192048
45835,2219,541.75505933686
45836,2024,629.513772923364
45837,2634,1126.26515134695
45838,2420,679.804548365568
45839,2430,354.126761936466
45840,2416,459.082613633126
45841,1310,486.775467405224
45842,1306,508.48561496119
45843,1311,546.592334635808
45844,1310,674.072410154947
45845,2215,544.793193461712
45846,2215,567.258360940816
45847,2527,644.034029461695
45848,2529,604.532113275769
45849,2342,874.711923544192
45850,1902,1093.70554325559
45851,2166,1760.50166132719
45852,2102,1082.17686327103
45853,2093,458.265839111553
45854,2495,496.215494386612
45855,2168,473.047994979802
45856,1926,856.405549311932
45857,2493,389.94195919832
45858,1919,448.504785125625
45859,1920,475.892721802537
45860,1922,235.542017640963
45861,1925,394.323165179999
45862,2392,568.575957367933
45863,1925,909.34831823448
45864,1924,1962.84710402278
45865,2050,882.139928383431
45866,2084,874.670143410236
45867,1863,1069.79585675185
45868,1864,369.433451859594
45869,2495,1823.85541745499
45870,2077,785.002277591904
45871,2144,828.769683481991
45872,2077,420.648381638619
45873,2024,617.362584764375
45874,2191,1042.22187083877
45875,2016,390.869358491467
45876,2144,302.548976025886
45877,1924,601.886202217912
45878,5141,393.043482061644
45879,2131,594.173356748089
45880,2130,524.225861144617
45881,2146,377.681368470566
45882,2383,633.608636884984
45883,2612,375.140480062447
45884,2381,799.79818559417
45885,2066,486.741278282266
45886,2065,490.918721819331
45887,2664,1096.31916190651
45888,2613,786.612352159833
45889,2241,653.71014571247
45890,2230,574.980360223107
45891,2253,395.51473859214
45892,5146,1107.94281543401
45893,2029,1422.83031130833
45894,2655,931.553455418117
45895,2655,1585.67149062284
45896,2427,549.202897328079
45897,2434,803.546782384022
45898,2427,885.449706146683
45899,3587,729.676254281722
45900,687,284.951171924208
45901,691,603.959040054178
45902,671,645.77051960635
45903,2195,736.237059912631
45904,2337,82.462870217456
45905,2385,420.628510402954
45906,1978,489.646995585486
45907,322,916.505411365234
45908,322,557.296268692156
45909,304,259.221845206244
45910,2137,262.604874600216
45911,2123,271.186096150678
45912,2197,664.782338573036
45913,2187,732.367644884743
45914,5145,653.680100285062
45915,1917,544.678368815364
45916,1926,1560.14557547423
45917,2172,832.814366999282
45918,2091,1107.22386219437
45919,2090,1176.1720257945
45920,2135,368.742194532098
45921,2091,411.15403361466
45922,2091,412.746001574516
45923,268,490.029153850881
45924,266,487.30042942522
45925,3431,850.916907682017
45926,2216,467.727776258364
45927,2234,425.290525878476
45928,2618,390.470281981956
45929,3772,1041.15970491898
45930,2145,573.00579834237
45931,2145,1159.425463839
45932,5146,1076.867353215
45933,2027,516.315251214723
45934,2028,898.68305051678
45935,2639,660.661182444576
45936,5147,749.240749356733
45937,2183,844.174712924139
45938,5146,801.596599531423
45939,3427,515.467876612153
45940,3300,575.963147445045
45941,2886,687.899657414035
45942,2452,331.269366006513
45943,1931,613.774350011977
45944,1934,97.5821614658641
45945,2388,383.941407376445
45946,2387,548.64065998454
45947,2218,786.685202418936
45948,1878,452.621338176237
45949,2614,522.753061212974
45950,2240,598.184078296677
45951,2164,567.799387981358
45952,2441,462.11230276604
45953,1838,693.411484216499
45954,2500,709.996022660639
45955,2594,1160.20311982454
45956,2317,3337.71400476118
45957,2335,1039.39162458624
45958,2427,291.532431286956
45959,2423,336.925035751138
45960,2674,1724.5784621606
45961,2433,649.120225615469
45962,2410,487.337055219396
45963,2484,762.864642793849
45964,1847,72.0134816234084
45965,1852,442.958052989296
45966,1279,1320.32848770373
45967,2265,824.565992497801
45968,1957,73.1222285046191
45969,1966,378.728353277632
45970,1854,1049.5742566664
45971,2613,628.548989488758
45972,2072,222.388527458059
45973,2487,386.698691615169
45974,2501,938.539980685822
45975,2466,1238.80178651653
45976,1861,1203.05931455632
45977,1925,578.105489934063
45978,2169,471.423167542373
45979,1924,435.270039370766
45980,1839,325.95663195871
45981,2373,358.574308498349
45982,2061,220.783328587666
45983,2072,340.496028598692
45984,2383,630.849254849032
45985,2147,1180.56744230495
45986,2021,797.232421152545
45987,1827,727.83924609822
45988,2070,756.03117529269
45989,2490,624.986856707231
45990,2487,445.388579815128
45991,1859,689.131364176884
45992,2233,492.135390335993
45993,1858,345.023294989659
45994,1862,546.706330322927
45995,2620,811.113797898521
45996,2148,776.138346796445
45997,2415,873.290827501365
45998,2470,332.926122637773
45999,2540,199.708038562235
46000,1948,721.031617761499
46001,1933,301.554509449214
46002,2649,331.139578126051
46003,2069,671.922455131539
46004,2471,537.812383550605
46005,2466,1186.02867849271
46006,2466,411.293376798862
46007,2021,285.321484443513
46008,2099,538.501918861394
46009,2623,604.677365766417
46010,2629,590.806579224307
46011,2448,382.574165710273
46012,2420,689.53198712662
46013,2245,1359.69333379353
46014,4131,1053.56343061606
46015,1949,301.428254426437
46016,2661,716.8291654606
46017,2432,966.870301566889
46018,1280,410.469682169694
46019,2038,609.405120389169
46020,1828,1046.48086992658
46021,1696,687.075357642047
46022,1953,206.803811397333
46023,2617,721.332205817522
46024,2244,438.697516392137
46025,566,513.182070952389
46026,565,571.691550000646
46027,3661,1047.18342269496
46028,3689,756.330849423022
46029,4138,1021.44262117697
46030,480,436.274089361334
46031,480,393.974232758743
46032,306,471.913048056792
46033,632,574.610965057033
46034,589,442.368861670957
46035,1455,1117.15497034988
46036,465,967.04292044769
46037,465,594.871335954873
46038,3768,476.491867454626
46039,3768,411.763449705742
46040,567,545.63772898133
46041,570,582.433358660325
46042,2661,860.84664925242
46043,1915,765.286525714024
46044,1902,566.082427760927
46045,2182,393.241959625661
46046,3633,487.817483235854
46047,3664,461.332596262984
46048,478,1205.96835083955
46049,4210,320.969619432384
46050,3635,616.112407148293
46051,3900,858.718757859704
46052,1478,99.8031840600217
